index,original_file,processed_file,mse_gray,psnr_gray_db,mean_abs_diff_gray,edge_var_original,edge_var_processed
147,3168.png,processed_581a572d29b64ca98209c310c8566a79.jpg,13148.8164,6.942,83.5675,384.8346,125.3719
148,3203.png,processed_5820a4a0783d45e3bc0afd002218f740.jpg,5867.6875,10.446,53.4144,111.526,50.5023
149,3549.png,processed_58d47e5c0b3a4ff3966f7369c48ee9a9.jpg,10045.0352,8.111,65.0332,126.1016,605.3572
150,3684.png,processed_5a2787fdc215492baf503178264c6619.jpg,7735.2822,9.246,54.1754,126.9423,166.2553
151,3781.png,processed_5a6262f2cd264684bf4a007671088f4e.jpg,12633.7041,7.115,78.312,113.4076,252.2813
152,3829.png,processed_5acf646b07cf474187d1890326988517.jpg,8228.0674,8.978,52.3784,143.6044,187.5681
153,4247.png,processed_5b8eaad5ff374354a4492216a699c815.jpg,14170.0449,6.617,84.7144,166.5166,562.3878
154,4264.png,processed_5d887a4fe1ae43288df5bd6e19df1d7b.jpg,11308.916,7.597,73.5757,211.1285,415.7844
155,4471.png,processed_5e82538ae46a4a4abe4976953d8321eb.jpg,10765.4414,7.81,64.1301,101.9263,442.5897
156,4622.png,processed_5f2a04cce9db4ef4a594efd1c76dfa3e.jpg,6744.4385,9.841,55.7733,123.7849,92.7682
157,4818.png,processed_5f2c47f4c7d44b7ea8073563079f48c7.jpg,6757.9385,9.833,51.5079,512.9204,179.8487
158,4904.png,processed_5f8c750dbcf748ea8d08ec8ba096c3c7.jpg,5824.7881,10.478,56.5739,259.9228,76.0312
159,5154.png,processed_60b418834c924d06856036e3267258fb.jpg,6942.708,9.716,51.2676,93.2137,114.915
160,5193.png,processed_61778c902d6347fd85b34699526658cd.jpg,9964.1504,8.146,64.9402,151.3475,128.2166
161,5443.png,processed_62174f4410c84ddeaee8c37313efa6dc.jpg,10447.4482,7.941,67.5522,176.1027,391.9105
162,5458.png,processed_6222b167823247edaf1aa23bb269ec08.jpg,11239.8096,7.623,72.3574,229.5664,434.4453
163,5756.png,processed_62732e17e5c240efbc324ffd9c3912f4.jpg,10685.6895,7.843,70.6914,196.3185,221.2735
164,5847.png,processed_62eacf388268456da6710b2aae570973.jpg,8134.5742,9.027,49.6782,78.2105,210.3317
